Taxon,Population,Mother tree voucher,Year planted,Current status
Angophora costata subsp. costata,"Bellingen, NSW",6796,2015,Immature
Angophora costata subsp. costata,"Glenbrook, NSW",2073,1998,Mature
Angophora costata subsp. euryphylla,"Broken Back Range, NSW",2082,1998,Mature
Angophora costata subsp. euryphylla,"Putty, NSW",3206,2002,Dead
Angophora floribunda,"Roma, QLD",2551,1999,Immature
Angophora hispida,"St Ives, NSW",6746,2015,Immature
Angophora inopina,"Wyee, NSW",6258,2013,Immature
Angophora leiocarpa,"Karara, QLD",2103,1998,Immature
Angophora melanoxylon,"St George, QLD",2552,1999,Immature
Angophora subvelutina,"Mulgoa, NSW",3204,2001,Mature
Corymbia abbreviata,"Kununurra, WA",1932,2002,Dead
Corymbia abergiana,"Paluma, QLD",1303,1998,Mature
Corymbia aparrerinja,Unknown,,1997,Immature
Corymbia arnhemensis,"Kakadu Nat. Park, NT",2484,2011,Immature
Corymbia aureola,"Cherwell Range, QLD",2542,1999,Mature
Corymbia bella,"Bulman, NT",4204,2010,Immature
Corymbia blesseri,"Mount Elizabeth Station, WA",1923,2002,Dead
Corymbia bloxsomei,"Barakula State Forest, QLD",687,1994,Mature
Corymbia brachycarpa,"Torrens Creek 1, QLD",2534,1999,Immature
Corymbia brachycarpa,"Torrens Creek 2, QLD",5141,2010,Immature
Corymbia bunites,"Blackdown Tableland, QLD",711,1994,Mature
Corymbia cadophora subsp. cadophora,"Derby, WA",1905,2002,Dead
Corymbia cadophora subsp. pliantha,"Ellenbrae Station, WA",1929,2002,Dead
Corymbia cadophora subsp. polychroma,"Ragged Range, WA",5858,2011,Dead
Corymbia calophylla,"Brookton, WA",3421,2001,Mature
Corymbia calophylla,"Cockleshell Gully, WA",1160,1995,Mature
Corymbia calophylla,"Mount Hassell, WA",229,1995,Dead
Corymbia calophylla,"Mount Talyuberlup, WA",6707,2015,Immature
Corymbia candida,"Barradale, WA",7230,2017,Immature
Corymbia capricornia,"Barkly Tableland, NT",4192,2010,Immature
Corymbia capricornia,"Renner Springs, NT",1335,1996,Dead
Corymbia chartacea,"Jabiru, NT",2474,1999,Dead
Corymbia chippendalei,"Mount Methwin, WA",4288,2011,Immature
Corymbia chippendalei,"Telfer, WA",4264,2002,Dead
Corymbia chippendalei,"Warburton, WA",2695,2000,Dead
Corymbia chlorolampra,"Mount Lesueur, WA",7227,2017,Immature
Corymbia chlorolampra,"Mount Peron 1, WA",2213,2000,Dead
